DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
25-Sep-2023,EQ,"3,602.50","3,620.00","3,558.65","3,603.65","3,569.80","3,577.15","3,579.70","3,633.75","2,926.10",1238778,"4,43,44,48,253.85",82519
22-Sep-2023,EQ,"3,584.00","3,633.75","3,565.05","3,585.30","3,604.00","3,603.65","3,605.09","3,633.75","2,926.10",1989083,"7,17,08,27,508.35",152937
21-Sep-2023,EQ,"3,588.55","3,605.00","3,528.00","3,606.05","3,586.00","3,585.30","3,559.97","3,625.00","2,926.10",2004073,"7,13,44,47,228.50",151219
20-Sep-2023,EQ,"3,580.00","3,625.00","3,580.00","3,606.15","3,600.10","3,606.05","3,612.14","3,625.00","2,926.10",1649396,"5,95,78,55,338.40",127927
18-Sep-2023,EQ,"3,580.05","3,619.30","3,575.25","3,598.30","3,605.00","3,606.15","3,605.10","3,619.30","2,926.10",1395753,"5,03,18,35,082.65",97296
15-Sep-2023,EQ,"3,567.85","3,607.35","3,562.45","3,560.05","3,591.55","3,598.30","3,591.93","3,607.35","2,926.10",2952897,"10,60,66,11,878.75",139252
14-Sep-2023,EQ,"3,570.05","3,597.70","3,545.60","3,567.85","3,562.35","3,560.05","3,563.35","3,597.70","2,926.10",2604721,"9,28,15,27,868.20",146192
13-Sep-2023,EQ,"3,571.10","3,588.85","3,545.00","3,580.80","3,561.50","3,567.85","3,568.13","3,589.90","2,926.10",1754929,"6,26,18,06,697.40",138829
12-Sep-2023,EQ,"3,492.00","3,589.90","3,483.00","3,480.65","3,572.60","3,580.80","3,550.35","3,589.90","2,926.10",4476016,"15,89,14,01,853.45",242752
11-Sep-2023,EQ,"3,462.00","3,485.70","3,445.00","3,441.90","3,481.00","3,480.65","3,471.77","3,575.00","2,926.10",1783604,"6,19,22,69,892.25",111418
08-Sep-2023,EQ,"3,455.25","3,465.00","3,435.05","3,455.25","3,445.00","3,441.90","3,446.91","3,575.00","2,926.10",1518917,"5,23,55,63,741.25",88984
07-Sep-2023,EQ,"3,430.80","3,460.00","3,422.30","3,429.90","3,458.00","3,455.25","3,443.88","3,575.00","2,926.10",1885092,"6,49,20,39,521.45",143528
06-Sep-2023,EQ,"3,434.00","3,443.90","3,398.10","3,429.35","3,421.60","3,429.90","3,424.44","3,575.00","2,926.10",1314818,"4,50,25,11,185.60",99523
05-Sep-2023,EQ,"3,420.00","3,447.00","3,405.15","3,418.50","3,425.65","3,429.35","3,430.40","3,575.00","2,926.10",1501842,"5,15,19,24,571.65",100120
